Library	Initial_reads_aligned	Postfiltering_reads_aligned	Duplication_rate	Naive_coverage	BPR_coverage	Background	Reads_per_Mb	Percent_WC	Mode_GC	Mode_insert_size	Strandseq_quality*
na24385_c7_w39_single_3e8_S70_	4274489	3856214	18.00%	7.60%	3.80%	15.90%	491	51%	47%	149	poor
na24385_c7_w41_single_3e8_S71_	285037	258168	4.90%	0.60%	0.30%	1.00%	43	61%	40%	149	good
na24385_c7_w43_single_3e8_S72_	2794	2352	0.90%	0.00%	0.00%	0.00%	0	46%	47%	150	empty
na24385_c7_w45_single_3e8_S73_	2186726	1982566	12.10%	4.20%	2.10%	4.80%	313	44%	46%	149	poor
na24385_c7_w47_single_3e8_S74_	819886	740570	8.20%	1.60%	0.80%	1.40%	120	44%	39%	148	good
na24385_c7_w49_single_3e8_S75_	7085129	6391708	23.60%	11.80%	5.80%	3.80%	864	45%	40%	148	poor
na24385_c7_w5_single_3e8_S53_	10444036	9584796	42.80%	13.20%	6.60%	2.20%	1019	44%	40%	148	poor
na24385_c7_w7_single_3e8_S54_	7819373	7009992	33.60%	11.20%	5.60%	2.70%	695	44%	40%	148	poor
na24385_c7_w9_single_3e8_S55_	2683422	2396840	24.30%	4.40%	2.20%	3.20%	326	26%	39%	148	poor
na24385_c8_w1_negctrl_3e8_S76_	1062	936	4.50%	0.00%	0.00%	50.00%	0	42%	50%	153	empty
na24385_c8_w11_single_3e8_S81_	6778493	6103312	25.10%	11.00%	5.50%	1.20%	814	51%	40%	148	good
na24385_c8_w13_single_3e8_S82_	4788715	4298214	17.90%	8.50%	4.20%	2.10%	633	48%	39%	148	good
na24385_c8_w15_single_3e8_S83_	1019278	919572	10.40%	2.00%	1.00%	1.90%	139	55%	49%	148	good
na24385_c8_w17_single_3e8_S84_	223462	204632	4.80%	0.50%	0.20%	4.70%	33	33%	39%	148	poor
na24385_c8_w19_single_3e8_S85_	7939837	7153010	24.50%	13.00%	6.40%	2.80%	1025	44%	40%	148	poor
na24385_c8_w21_single_3e8_S86_	2616496	2360692	13.50%	4.90%	2.50%	0.90%	364	36%	39%	149	good
na24385_c8_w23_single_3e8_S87_	2979244	2687634	14.30%	5.50%	2.80%	1.00%	414	40%	40%	148	good
na24385_c8_w25_single_3e8_S88_	6188574	5556770	24.70%	10.10%	5.00%	1.60%	748	38%	40%	148	good
na24385_c8_w27_single_3e8_S89_	2319309	2094202	11.90%	4.40%	2.20%	1.30%	327	42%	40%	149	good
na24385_c8_w29_single_3e8_S90_	445763	401918	9.40%	0.90%	0.40%	8.00%	59	26%	50%	150	poor
na24385_c8_w3_single_3e8_S77_	7504777	6894524	29.40%	11.70%	5.80%	5.30%	952	43%	40%	149	poor
na24385_c8_w31_single_3e8_S91_	6915	5288	27.30%	0.00%	0.00%	0.00%	0	79%	45%	148	empty
na24385_c8_w33_single_3e8_S92_	2091819	1879696	9.80%	4.10%	2.00%	2.60%	295	39%	44%	148	poor
na24385_c8_w35_single_3e8_S93_	1054372	963224	8.50%	2.10%	1.10%	5.40%	168	42%	40%	148	poor
na24385_c8_w37_single_3e8_S94_	3288636	2923082	21.10%	5.60%	2.80%	8.20%	366	46%	47%	149	poor
na24385_c8_w39_single_3e8_S95_	2703152	2441850	13.40%	5.10%	2.50%	4.30%	391	36%	47%	148	poor
na24385_c8_w41_single_3e8_S96_	169878	152042	6.40%	0.30%	0.20%	3.20%	22	29%	49%	150	poor
na24385_c8_w43_single_3e8_S97_	87151	79326	2.10%	0.20%	0.10%	4.00%	14	48%	39%	148	poor
